"Region";"Dato";"Døde";"Kummuleret antal døde"
Syddanmark;2021-01-21;1;1914
Sjælland;2021-01-21;4;1918
Nordjylland;2021-01-21;3;1921
Midtjylland;2021-01-21;4;1925
Hovedstaden;2021-01-21;15;1940
Syddanmark;2021-01-22;2;1942
Sjælland;2021-01-22;6;1948
Nordjylland;2021-01-22;3;1951
Midtjylland;2021-01-22;3;1954
Hovedstaden;2021-01-22;10;1964
Syddanmark;2021-01-23;2;1966
Sjælland;2021-01-23;6;1972
Midtjylland;2021-01-23;6;1978
Hovedstaden;2021-01-23;12;1990
Syddanmark;2021-01-24;3;1993
Sjælland;2021-01-24;2;1995
Nordjylland;2021-01-24;3;1998
Midtjylland;2021-01-24;4;2002
Hovedstaden;2021-01-24;8;2010
Syddanmark;2021-01-25;3;2013
Sjælland;2021-01-25;4;2017
Nordjylland;2021-01-25;3;2020
Midtjylland;2021-01-25;6;2026
Hovedstaden;2021-01-25;9;2035
Syddanmark;2021-01-26;2;2037
Sjælland;2021-01-26;1;2038
Nordjylland;2021-01-26;1;2039
Midtjylland;2021-01-26;1;2040
Hovedstaden;2021-01-26;15;2055
Syddanmark;2021-01-27;1;2056
Sjælland;2021-01-27;4;2060
Nordjylland;2021-01-27;1;2061
Midtjylland;2021-01-27;0;2061
Hovedstaden;2021-01-27;11;2072
Syddanmark;2021-01-28;2;2074
Sjælland;2021-01-28;2;2076
Nordjylland;2021-01-28;2;2078
Midtjylland;2021-01-28;4;2082
Hovedstaden;2021-01-28;9;2091
Syddanmark;2021-01-29;3;2094
Sjælland;2021-01-29;3;2097
Nordjylland;2021-01-29;1;2098
Midtjylland;2021-01-29;2;2100
Hovedstaden;2021-01-29;10;2110
Syddanmark;2021-01-30;2;2112
Sjælland;2021-01-30;3;2115
Nordjylland;2021-01-30;2;2117
Midtjylland;2021-01-30;1;2118
Hovedstaden;2021-01-30;11;2129
Syddanmark;2021-01-31;3;2132
Sjælland;2021-01-31;1;2133
Nordjylland;2021-01-31;1;2134
Midtjylland;2021-01-31;1;2135
Hovedstaden;2021-01-31;10;2145
Syddanmark;2021-02-01;0;2145
Sjælland;2021-02-01;2;2147
Nordjylland;2021-02-01;2;2149
Midtjylland;2021-02-01;3;2152
Hovedstaden;2021-02-01;6;2158
Syddanmark;2021-02-02;3;2161
Sjælland;2021-02-02;1;2162
Nordjylland;2021-02-02;1;2163
Midtjylland;2021-02-02;1;2164
Hovedstaden;2021-02-02;4;2168
Syddanmark;2021-02-03;1;2169
Sjælland;2021-02-03;5;2174
Nordjylland;2021-02-03;1;2175
Midtjylland;2021-02-03;4;2179
Hovedstaden;2021-02-03;6;2185
Syddanmark;2021-02-04;1;2186
Sjælland;2021-02-04;2;2188
Midtjylland;2021-02-04;1;2189
Hovedstaden;2021-02-04;10;2199
Syddanmark;2021-02-05;2;2201
Sjælland;2021-02-05;1;2202
Nordjylland;2021-02-05;1;2203
Midtjylland;2021-02-05;1;2204
Hovedstaden;2021-02-05;6;2210
Syddanmark;2021-02-06;0;2210
Sjælland;2021-02-06;1;2211
Nordjylland;2021-02-06;1;2212
Midtjylland;2021-02-06;1;2213
Hovedstaden;2021-02-06;4;2217
Sjælland;2021-02-07;1;2218
Nordjylland;2021-02-07;4;2222
Midtjylland;2021-02-07;0;2222
Hovedstaden;2021-02-07;3;2225
Syddanmark;2021-02-08;5;2230
Sjælland;2021-02-08;1;2231
Midtjylland;2021-02-08;2;2233
Hovedstaden;2021-02-08;5;2238
Syddanmark;2021-02-09;2;2240
Sjælland;2021-02-09;2;2242
Nordjylland;2021-02-09;0;2242
Hovedstaden;2021-02-09;12;2254
Syddanmark;2021-02-10;2;2256
Sjælland;2021-02-10;3;2259
Nordjylland;2021-02-10;3;2262
Midtjylland;2021-02-10;0;2262
Hovedstaden;2021-02-10;4;2266
Syddanmark;2021-02-11;2;2268
Sjælland;2021-02-11;0;2268
Nordjylland;2021-02-11;3;2271
Midtjylland;2021-02-11;0;2271
Hovedstaden;2021-02-11;4;2275
Syddanmark;2021-02-12;1;2276
Sjælland;2021-02-12;1;2277
Nordjylland;2021-02-12;2;2279
Midtjylland;2021-02-12;0;2279
Hovedstaden;2021-02-12;3;2282
Sjælland;2021-02-13;2;2284
Nordjylland;2021-02-13;1;2285
Midtjylland;2021-02-13;1;2286
Hovedstaden;2021-02-13;5;2291
Hovedstaden;2021-02-14;5;2296
Syddanmark;2021-02-15;3;2299
Sjælland;2021-02-15;0;2299
Nordjylland;2021-02-15;2;2301
Midtjylland;2021-02-15;0;2301
Hovedstaden;2021-02-15;2;2303
Sjælland;2021-02-16;1;2304
Nordjylland;2021-02-16;0;2304
Midtjylland;2021-02-16;1;2305
Hovedstaden;2021-02-16;1;2306
Syddanmark;2021-02-17;2;2308
Sjælland;2021-02-17;1;2309
Nordjylland;2021-02-17;1;2310
Midtjylland;2021-02-17;0;2310
Hovedstaden;2021-02-17;2;2312
Syddanmark;2021-02-18;1;2313
Sjælland;2021-02-18;1;2314
Nordjylland;2021-02-18;0;2314
Midtjylland;2021-02-18;3;2317
Hovedstaden;2021-02-18;4;2321
Syddanmark;2021-02-19;0;2321
Nordjylland;2021-02-19;0;2321
Hovedstaden;2021-02-19;4;2325
Syddanmark;2021-02-20;2;2327
Sjælland;2021-02-20;0;2327
Midtjylland;2021-02-20;0;2327
Hovedstaden;2021-02-20;3;2330
Syddanmark;2021-02-21;0;2330
Sjælland;2021-02-21;1;2331
Midtjylland;2021-02-21;1;2332
Hovedstaden;2021-02-21;3;2335
Syddanmark;2021-02-22;0;2335
Sjælland;2021-02-22;0;2335
Nordjylland;2021-02-22;0;2335
Midtjylland;2021-02-22;0;2335
Hovedstaden;2021-02-22;0;2335
Syddanmark;2021-02-23;2;2337
Sjælland;2021-02-23;0;2337
Hovedstaden;2021-02-23;0;2337
Syddanmark;2021-02-24;2;2339
Sjælland;2021-02-24;3;2342
Nordjylland;2021-02-24;1;2343
Hovedstaden;2021-02-24;1;2344
Syddanmark;2021-02-25;0;2344
Sjælland;2021-02-25;0;2344
Nordjylland;2021-02-25;0;2344
Hovedstaden;2021-02-25;1;2345
Syddanmark;2021-02-26;1;2346
Sjælland;2021-02-26;0;2346
Midtjylland;2021-02-26;1;2347
Hovedstaden;2021-02-26;2;2349
Syddanmark;2021-02-27;1;2350
Sjælland;2021-02-27;1;2351
Nordjylland;2021-02-27;1;2352
Midtjylland;2021-02-27;0;2352
Hovedstaden;2021-02-27;1;2353
Sjælland;2021-02-28;1;2354
Hovedstaden;2021-02-28;2;2356
Sjælland;2021-03-01;1;2357
Nordjylland;2021-03-01;0;2357
Hovedstaden;2021-03-01;0;2357
Midtjylland;2021-03-02;1;2358
Hovedstaden;2021-03-02;3;2361
Syddanmark;2021-03-03;1;2362
Sjælland;2021-03-03;1;2363
Midtjylland;2021-03-03;0;2363
Hovedstaden;2021-03-03;1;2364
Sjælland;2021-03-04;0;2364
Hovedstaden;2021-03-04;2;2366
Syddanmark;2021-03-05;0;2366
Nordjylland;2021-03-05;0;2366
Hovedstaden;2021-03-05;0;2366
Sjælland;2021-03-06;1;2367
Midtjylland;2021-03-06;0;2367
Hovedstaden;2021-03-06;1;2368
Sjælland;2021-03-07;1;2369
Nordjylland;2021-03-07;0;2369
Hovedstaden;2021-03-07;1;2370
Hovedstaden;2021-03-08;0;2370
Sjælland;2021-03-09;1;2371
Hovedstaden;2021-03-09;1;2372
Syddanmark;2021-03-10;1;2373
Sjælland;2021-03-10;1;2374
Nordjylland;2021-03-10;0;2374
Hovedstaden;2021-03-10;1;2375
Sjælland;2021-03-11;1;2376
Nordjylland;2021-03-11;1;2377
Midtjylland;2021-03-11;1;2378
Sjælland;2021-03-12;1;2379
Hovedstaden;2021-03-12;1;2380
Syddanmark;2021-03-13;1;2381
Hovedstaden;2021-03-13;0;2381
Sjælland;2021-03-14;1;2382
Hovedstaden;2021-03-14;1;2383
Sjælland;2021-03-15;1;2384
Hovedstaden;2021-03-15;1;2385
Hovedstaden;2021-03-16;0;2385
Syddanmark;2021-03-17;0;2385
Hovedstaden;2021-03-17;2;2387
;2021-03-18;0;2387
Syddanmark;2021-03-19;1;2388
Sjælland;2021-03-19;1;2389
Hovedstaden;2021-03-19;1;2390
Hovedstaden;2021-03-20;0;2390
Sjælland;2021-03-21;0;2390
Hovedstaden;2021-03-21;1;2391
Hovedstaden;2021-03-22;1;2392
Sjælland;2021-03-23;1;2393
Hovedstaden;2021-03-23;0;2393
Syddanmark;2021-03-24;1;2394
Sjælland;2021-03-24;4;2398
Midtjylland;2021-03-24;1;2399
Hovedstaden;2021-03-24;2;2401
Hovedstaden;2021-03-25;0;2401
Syddanmark;2021-03-26;1;2402
Sjælland;2021-03-26;1;2403
Hovedstaden;2021-03-27;1;2404
;2021-03-28;0;2404
Midtjylland;2021-03-29;0;2404
Hovedstaden;2021-03-29;1;2405
Syddanmark;2021-03-30;0;2405
Sjælland;2021-03-30;2;2407
Hovedstaden;2021-03-30;1;2408
Sjælland;2021-03-31;1;2409
Midtjylland;2021-03-31;0;2409
Hovedstaden;2021-03-31;3;2412
Hovedstaden;2021-04-01;1;2413
Syddanmark;2021-04-02;1;2414
Hovedstaden;2021-04-02;3;2417
Hovedstaden;2021-04-03;1;2418
Hovedstaden;2021-04-04;1;2419
Sjælland;2021-04-05;1;2420
Midtjylland;2021-04-05;1;2421
Hovedstaden;2021-04-05;1;2422
Syddanmark;2021-04-06;0;2422
Sjælland;2021-04-06;1;2423
Sjælland;2021-04-07;0;2423
Midtjylland;2021-04-07;1;2424
Syddanmark;2021-04-08;1;2425
Sjælland;2021-04-08;0;2425
Midtjylland;2021-04-08;1;2426
Syddanmark;2021-04-09;2;2428
Hovedstaden;2021-04-09;0;2428
Sjælland;2021-04-10;1;2429
Midtjylland;2021-04-10;1;2430
Syddanmark;2021-04-11;1;2431
Nordjylland;2021-04-11;1;2432
Hovedstaden;2021-04-11;1;2433
Midtjylland;2021-04-12;1;2434
Hovedstaden;2021-04-12;1;2435
;2021-04-13;0;2435
Midtjylland;2021-04-14;1;2436
Hovedstaden;2021-04-14;1;2437
Hovedstaden;2021-04-15;2;2439
Syddanmark;2021-04-16;1;2440
Nordjylland;2021-04-16;2;2442
Midtjylland;2021-04-16;2;2444
Hovedstaden;2021-04-16;0;2444
Nordjylland;2021-04-17;1;2445
Midtjylland;2021-04-17;1;2446
Hovedstaden;2021-04-17;1;2447
Syddanmark;2021-04-18;1;2448
Sjælland;2021-04-18;1;2449
Midtjylland;2021-04-18;1;2450
Hovedstaden;2021-04-18;0;2450
Hovedstaden;2021-04-19;2;2452
Hovedstaden;2021-04-20;3;2455
Nordjylland;2021-04-21;1;2456
Midtjylland;2021-04-21;1;2457
Hovedstaden;2021-04-21;2;2459
Sjælland;2021-04-22;0;2459
Hovedstaden;2021-04-22;3;2462
Hovedstaden;2021-04-23;1;2463
Hovedstaden;2021-04-24;2;2465
Sjælland;2021-04-25;0;2465
Hovedstaden;2021-04-25;1;2466
Hovedstaden;2021-04-26;1;2467
Syddanmark;2021-04-27;0;2467
Nordjylland;2021-04-27;2;2469
Hovedstaden;2021-04-27;1;2470
Syddanmark;2021-04-28;1;2471
Hovedstaden;2021-04-28;1;2472
Hovedstaden;2021-04-29;2;2474
Hovedstaden;2021-04-30;3;2477
Hovedstaden;2021-05-01;1;2478
Hovedstaden;2021-05-02;1;2479
Hovedstaden;2021-05-03;0;2479
Nordjylland;2021-05-04;0;2479
Hovedstaden;2021-05-04;2;2481
Sjælland;2021-05-05;0;2481
Hovedstaden;2021-05-05;1;2482
Sjælland;2021-05-06;0;2482
Hovedstaden;2021-05-06;1;2483
Sjælland;2021-05-07;2;2485
;2021-05-08;0;2485
Hovedstaden;2021-05-09;0;2485
Midtjylland;2021-05-10;1;2486
Hovedstaden;2021-05-10;1;2487
;2021-05-11;0;2487
;2021-05-12;0;2487
;2021-05-13;0;2487
Sjælland;2021-05-14;1;2488
Nordjylland;2021-05-14;1;2489
Hovedstaden;2021-05-14;1;2490
Sjælland;2021-05-15;1;2491
Hovedstaden;2021-05-16;1;2492
Syddanmark;2021-05-17;1;2493
Syddanmark;2021-05-18;0;2493
Hovedstaden;2021-05-19;1;2494
Hovedstaden;2021-05-20;0;2494
Nordjylland;2021-05-21;1;2495
Hovedstaden;2021-05-21;0;2495
Hovedstaden;2021-05-22;1;2496
Midtjylland;2021-05-23;1;2497
Hovedstaden;2021-05-24;1;2498
Nordjylland;2021-05-25;1;2499
Midtjylland;2021-05-25;0;2499
Sjælland;2021-05-26;0;2499
Midtjylland;2021-05-26;1;2500
Hovedstaden;2021-05-26;1;2501
Midtjylland;2021-05-27;1;2502
Midtjylland;2021-05-28;1;2503
Hovedstaden;2021-05-28;1;2504
;2021-05-29;0;2504
;2021-05-30;0;2504
;2021-05-31;0;2504
Syddanmark;2021-06-01;1;2505
Hovedstaden;2021-06-01;0;2505
Hovedstaden;2021-06-02;0;2505
;2021-06-03;0;2505
Syddanmark;2021-06-04;1;2506
;2021-06-05;0;2506
Nordjylland;2021-06-06;1;2507
Hovedstaden;2021-06-06;1;2508
;2021-06-07;0;2508
;2021-06-08;0;2508
Sjælland;2021-06-09;0;2508
Nordjylland;2021-06-09;1;2509
Hovedstaden;2021-06-09;1;2510
Midtjylland;2021-06-10;1;2511
Hovedstaden;2021-06-10;1;2512
Hovedstaden;2021-06-11;1;2513
;2021-06-12;0;2513
Sjælland;2021-06-13;1;2514
Syddanmark;2021-06-14;1;2515
Hovedstaden;2021-06-14;1;2516
;2021-06-15;0;2516
;2021-06-16;0;2516
;2021-06-17;0;2516
Nordjylland;2021-06-18;1;2517
Hovedstaden;2021-06-19;1;2518
Nordjylland;2021-06-20;0;2518
;2021-06-21;0;2518
Hovedstaden;2021-06-22;0;2518
Hovedstaden;2021-06-23;0;2518
;2021-06-24;0;2518
Hovedstaden;2021-06-25;1;2519
Hovedstaden;2021-06-26;1;2520
Hovedstaden;2021-06-27;1;2521
Nordjylland;2021-06-28;1;2522
Nordjylland;2021-06-29;0;2522
;2021-06-30;0;2522
Syddanmark;2021-07-01;0;2522
Nordjylland;2021-07-01;1;2523
Hovedstaden;2021-07-01;1;2524
;2021-07-02;0;2524
;2021-07-03;0;2524
Midtjylland;2021-07-04;1;2525
Syddanmark;2021-07-05;0;2525
Hovedstaden;2021-07-05;0;2525
;2021-07-06;0;2525
;2021-07-07;0;2525
Sjælland;2021-07-08;0;2525
Hovedstaden;2021-07-09;1;2526
;2021-07-10;0;2526
;2021-07-11;0;2526
Nordjylland;2021-07-12;0;2526
Syddanmark;2021-07-13;0;2526
Syddanmark;2021-07-14;1;2527
Midtjylland;2021-07-14;1;2528
Syddanmark;2021-07-15;1;2529
;2021-07-16;0;2529
;2021-07-17;0;2529
;2021-07-18;0;2529
;2021-07-19;0;2529
;2021-07-20;0;2529
;2021-07-21;0;2529
;2021-07-22;0;2529
;2021-07-23;0;2529
;2021-07-24;0;2529
Syddanmark;2021-07-25;1;2530
Hovedstaden;2021-07-25;1;2531
Midtjylland;2021-07-26;1;2532
Hovedstaden;2021-07-26;1;2533
;2021-07-27;0;2533
Sjælland;2021-07-28;0;2533
Midtjylland;2021-07-28;1;2534
Midtjylland;2021-07-29;1;2535
;2021-07-30;0;2535
Hovedstaden;2021-07-31;1;2536
;2021-08-01;0;2536
;2021-08-02;0;2536
Hovedstaden;2021-08-03;1;2537
Syddanmark;2021-08-04;1;2538
;2021-08-05;0;2538
;2021-08-06;0;2538
;2021-08-07;0;2538
Midtjylland;2021-08-08;1;2539
Hovedstaden;2021-08-09;1;2540
Sjælland;2021-08-10;2;2542
Syddanmark;2021-08-11;0;2542
Sjælland;2021-08-12;1;2543
Nordjylland;2021-08-12;1;2544
Hovedstaden;2021-08-12;1;2545
Midtjylland;2021-08-13;1;2546
;2021-08-14;0;2546
Hovedstaden;2021-08-15;1;2547
Syddanmark;2021-08-16;1;2548
Hovedstaden;2021-08-17;1;2549
Sjælland;2021-08-18;1;2550
Hovedstaden;2021-08-19;1;2551
Hovedstaden;2021-08-20;1;2552
Sjælland;2021-08-21;1;2553
Midtjylland;2021-08-21;1;2554
Hovedstaden;2021-08-22;1;2555
Sjælland;2021-08-23;1;2556
Hovedstaden;2021-08-23;1;2557
Sjælland;2021-08-24;1;2558
Nordjylland;2021-08-25;1;2559
Hovedstaden;2021-08-26;2;2561
Syddanmark;2021-08-27;1;2562
Hovedstaden;2021-08-27;2;2564
Hovedstaden;2021-08-28;2;2566
Syddanmark;2021-08-29;1;2567
Midtjylland;2021-08-29;1;2568
Hovedstaden;2021-08-30;1;2569
;2021-08-31;0;2569
Midtjylland;2021-09-01;1;2570
Hovedstaden;2021-09-02;3;2573
Nordjylland;2021-09-03;1;2574
;2021-09-04;0;2574
Syddanmark;2021-09-05;1;2575
Sjælland;2021-09-05;1;2576
Hovedstaden;2021-09-06;4;2580
Midtjylland;2021-09-07;3;2583
Hovedstaden;2021-09-07;1;2584
Syddanmark;2021-09-08;1;2585
Nordjylland;2021-09-08;1;2586
Midtjylland;2021-09-08;1;2587
Hovedstaden;2021-09-08;3;2590
Syddanmark;2021-09-09;1;2591
Nordjylland;2021-09-09;1;2592
Midtjylland;2021-09-09;1;2593
Hovedstaden;2021-09-09;1;2594
Hovedstaden;2021-09-10;2;2596
Midtjylland;2021-09-11;1;2597
Hovedstaden;2021-09-11;0;2597
Hovedstaden;2021-09-12;2;2599
;2021-09-13;0;2599
Sjælland;2021-09-14;1;2600
Midtjylland;2021-09-14;1;2601
Hovedstaden;2021-09-14;1;2602
Syddanmark;2021-09-15;1;2603
Sjælland;2021-09-15;1;2604
Midtjylland;2021-09-15;1;2605
Syddanmark;2021-09-16;1;2606
Nordjylland;2021-09-16;1;2607
Midtjylland;2021-09-16;1;2608
Hovedstaden;2021-09-16;1;2609
Syddanmark;2021-09-17;1;2610
Sjælland;2021-09-18;1;2611
Midtjylland;2021-09-18;1;2612
Hovedstaden;2021-09-18;1;2613
Syddanmark;2021-09-19;2;2615
Sjælland;2021-09-19;1;2616
Syddanmark;2021-09-20;1;2617
Midtjylland;2021-09-20;1;2618
Hovedstaden;2021-09-20;1;2619
Midtjylland;2021-09-21;1;2620
Sjælland;2021-09-22;0;2620
Midtjylland;2021-09-22;1;2621
Hovedstaden;2021-09-22;3;2624
Sjælland;2021-09-23;2;2626
Hovedstaden;2021-09-23;0;2626
Syddanmark;2021-09-24;1;2627
Sjælland;2021-09-24;1;2628
Syddanmark;2021-09-25;2;2630
Nordjylland;2021-09-25;1;2631
Midtjylland;2021-09-26;1;2632
Hovedstaden;2021-09-26;1;2633
Syddanmark;2021-09-27;1;2634
Sjælland;2021-09-27;1;2635
Midtjylland;2021-09-27;1;2636
Hovedstaden;2021-09-27;2;2638
Midtjylland;2021-09-28;1;2639
Syddanmark;2021-09-29;1;2640
Sjælland;2021-09-29;0;2640
Midtjylland;2021-09-29;1;2641
Syddanmark;2021-09-30;1;2642
Sjælland;2021-09-30;1;2643
Hovedstaden;2021-09-30;1;2644
Sjælland;2021-10-01;1;2645
Hovedstaden;2021-10-01;2;2647
Syddanmark;2021-10-02;1;2648
Sjælland;2021-10-02;0;2648
Nordjylland;2021-10-02;0;2648
;2021-10-03;0;2648
;2021-10-04;0;2648
Syddanmark;2021-10-05;1;2649
Sjælland;2021-10-05;1;2650
Midtjylland;2021-10-05;0;2650
Nordjylland;2021-10-06;1;2651
Hovedstaden;2021-10-06;1;2652
Sjælland;2021-10-07;1;2653
Midtjylland;2021-10-07;1;2654
;2021-10-08;0;2654
Syddanmark;2021-10-09;1;2655
Midtjylland;2021-10-09;1;2656
Nordjylland;2021-10-10;1;2657
Midtjylland;2021-10-10;1;2658
Hovedstaden;2021-10-11;2;2660
;2021-10-12;0;2660
Syddanmark;2021-10-13;1;2661
Sjælland;2021-10-13;1;2662
Nordjylland;2021-10-13;1;2663
Hovedstaden;2021-10-13;1;2664
Syddanmark;2021-10-14;1;2665
Hovedstaden;2021-10-14;0;2665
Nordjylland;2021-10-15;1;2666
Midtjylland;2021-10-15;1;2667
Syddanmark;2021-10-16;1;2668
Hovedstaden;2021-10-16;2;2670
Syddanmark;2021-10-17;1;2671
Hovedstaden;2021-10-17;3;2674
Nordjylland;2021-10-18;0;2674
Midtjylland;2021-10-18;0;2674
Hovedstaden;2021-10-18;1;2675
Syddanmark;2021-10-19;1;2676
Sjælland;2021-10-19;1;2677
Nordjylland;2021-10-19;1;2678
Midtjylland;2021-10-20;1;2679
Hovedstaden;2021-10-20;1;2680
Nordjylland;2021-10-21;1;2681
Midtjylland;2021-10-21;1;2682
Midtjylland;2021-10-22;0;2682
Hovedstaden;2021-10-22;1;2683
Nordjylland;2021-10-23;1;2684
;2021-10-24;0;2684
Hovedstaden;2021-10-25;3;2687
Nordjylland;2021-10-26;2;2689
Midtjylland;2021-10-26;0;2689
Hovedstaden;2021-10-26;1;2690
Nordjylland;2021-10-27;0;2690
Midtjylland;2021-10-27;1;2691
Hovedstaden;2021-10-27;1;2692
Hovedstaden;2021-10-28;1;2693
Nordjylland;2021-10-29;1;2694
Hovedstaden;2021-10-29;3;2697
Sjælland;2021-10-30;0;2697
Hovedstaden;2021-10-30;3;2700
Sjælland;2021-10-31;0;2700
Midtjylland;2021-10-31;0;2700
Hovedstaden;2021-10-31;2;2702
;2021-11-01;0;2702
Syddanmark;2021-11-02;1;2703
Sjælland;2021-11-02;1;2704
Midtjylland;2021-11-02;1;2705
Syddanmark;2021-11-03;1;2706
Nordjylland;2021-11-03;1;2707
Hovedstaden;2021-11-03;1;2708
Sjælland;2021-11-04;2;2710
Midtjylland;2021-11-04;1;2711
Hovedstaden;2021-11-04;5;2716
Hovedstaden;2021-11-05;3;2719
Syddanmark;2021-11-06;2;2721
Hovedstaden;2021-11-06;2;2723
Syddanmark;2021-11-07;2;2725
Nordjylland;2021-11-07;1;2726
Hovedstaden;2021-11-07;1;2727
Syddanmark;2021-11-08;1;2728
Sjælland;2021-11-09;1;2729
Hovedstaden;2021-11-09;2;2731
Sjælland;2021-11-10;1;2732
Nordjylland;2021-11-10;1;2733
Midtjylland;2021-11-10;1;2734
Hovedstaden;2021-11-10;1;2735
Syddanmark;2021-11-11;1;2736
Nordjylland;2021-11-11;1;2737
Hovedstaden;2021-11-11;2;2739
Nordjylland;2021-11-12;1;2740
Hovedstaden;2021-11-12;5;2745
Sjælland;2021-11-13;2;2747
Nordjylland;2021-11-13;1;2748
Midtjylland;2021-11-13;2;2750
Hovedstaden;2021-11-13;4;2754
Sjælland;2021-11-14;1;2755
Midtjylland;2021-11-14;1;2756
Hovedstaden;2021-11-14;4;2760
Syddanmark;2021-11-15;2;2762
Sjælland;2021-11-15;4;2766
Hovedstaden;2021-11-15;3;2769
Syddanmark;2021-11-16;1;2770
Hovedstaden;2021-11-16;3;2773
Nordjylland;2021-11-17;1;2774
Midtjylland;2021-11-17;1;2775
Hovedstaden;2021-11-17;1;2776
Syddanmark;2021-11-18;3;2779
Sjælland;2021-11-18;1;2780
Nordjylland;2021-11-18;1;2781
Hovedstaden;2021-11-18;2;2783
Syddanmark;2021-11-19;2;2785
Sjælland;2021-11-19;1;2786
Hovedstaden;2021-11-19;5;2791
Syddanmark;2021-11-20;2;2793
Sjælland;2021-11-20;0;2793
Hovedstaden;2021-11-20;2;2795
Syddanmark;2021-11-21;1;2796
Sjælland;2021-11-21;1;2797
Nordjylland;2021-11-21;1;2798
Hovedstaden;2021-11-21;1;2799
Syddanmark;2021-11-22;2;2801
Sjælland;2021-11-22;1;2802
Midtjylland;2021-11-22;0;2802
Hovedstaden;2021-11-22;4;2806
Syddanmark;2021-11-23;2;2808
Sjælland;2021-11-23;3;2811
Midtjylland;2021-11-23;2;2813
Hovedstaden;2021-11-23;4;2817
Syddanmark;2021-11-24;3;2820
Sjælland;2021-11-24;1;2821
Midtjylland;2021-11-24;2;2823
Hovedstaden;2021-11-24;4;2827
Syddanmark;2021-11-25;1;2828
Sjælland;2021-11-25;5;2833
Nordjylland;2021-11-25;1;2834
Hovedstaden;2021-11-25;5;2839
Syddanmark;2021-11-26;2;2841
Sjælland;2021-11-26;3;2844
Nordjylland;2021-11-26;2;2846
Midtjylland;2021-11-26;1;2847
Hovedstaden;2021-11-26;4;2851
Syddanmark;2021-11-27;2;2853
Sjælland;2021-11-27;1;2854
Nordjylland;2021-11-27;1;2855
Midtjylland;2021-11-27;1;2856
Hovedstaden;2021-11-27;4;2860
Syddanmark;2021-11-28;1;2861
Sjælland;2021-11-28;7;2868
Nordjylland;2021-11-28;1;2869
Midtjylland;2021-11-28;2;2871
Hovedstaden;2021-11-28;3;2874
Syddanmark;2021-11-29;4;2878
Nordjylland;2021-11-29;1;2879
Midtjylland;2021-11-29;1;2880
Hovedstaden;2021-11-29;3;2883
Syddanmark;2021-11-30;3;2886
Sjælland;2021-11-30;2;2888
Nordjylland;2021-11-30;4;2892
Midtjylland;2021-11-30;0;2892
Hovedstaden;2021-11-30;4;2896
Sjælland;2021-12-01;0;2896
Nordjylland;2021-12-01;3;2899
Hovedstaden;2021-12-01;2;2901
Syddanmark;2021-12-02;4;2905
Sjælland;2021-12-02;3;2908
Nordjylland;2021-12-02;1;2909
Midtjylland;2021-12-02;1;2910
Hovedstaden;2021-12-02;4;2914
Syddanmark;2021-12-03;1;2915
Sjælland;2021-12-03;1;2916
Nordjylland;2021-12-03;3;2919
Midtjylland;2021-12-03;3;2922
Hovedstaden;2021-12-03;4;2926
Syddanmark;2021-12-04;3;2929
Sjælland;2021-12-04;3;2932
Midtjylland;2021-12-04;2;2934
Hovedstaden;2021-12-04;1;2935
Syddanmark;2021-12-05;1;2936
Sjælland;2021-12-05;3;2939
Hovedstaden;2021-12-05;3;2942
Syddanmark;2021-12-06;2;2944
Sjælland;2021-12-06;2;2946
Midtjylland;2021-12-06;2;2948
Hovedstaden;2021-12-06;2;2950
Syddanmark;2021-12-07;1;2951
Sjælland;2021-12-07;1;2952
Hovedstaden;2021-12-07;4;2956
Syddanmark;2021-12-08;3;2959
Sjælland;2021-12-08;2;2961
Nordjylland;2021-12-08;2;2963
Midtjylland;2021-12-08;1;2964
Hovedstaden;2021-12-08;7;2971
Sjælland;2021-12-09;2;2973
Nordjylland;2021-12-09;1;2974
Hovedstaden;2021-12-09;1;2975
;2021-12-10;0;2975
