"Region";"Dato";"Bekræftede tilfælde"
Nordjylland;2020-08-29;11
Sjælland;2020-08-29;2
Syddanmark;2020-08-29;14
Hovedstaden;2020-08-30;50
Midtjylland;2020-08-30;23
Nordjylland;2020-08-30;6
Sjælland;2020-08-30;5
Syddanmark;2020-08-30;19
Hovedstaden;2020-08-31;66
Midtjylland;2020-08-31;18
Nordjylland;2020-08-31;3
Sjælland;2020-08-31;9
Syddanmark;2020-08-31;22
Hovedstaden;2020-09-01;91
Midtjylland;2020-09-01;33
Nordjylland;2020-09-01;7
Sjælland;2020-09-01;16
Syddanmark;2020-09-01;51
Hovedstaden;2020-09-02;85
Midtjylland;2020-09-02;17
Nordjylland;2020-09-02;3
Sjælland;2020-09-02;14
Syddanmark;2020-09-02;36
Hovedstaden;2020-09-03;115
Midtjylland;2020-09-03;16
Nordjylland;2020-09-03;11
Sjælland;2020-09-03;15
Syddanmark;2020-09-03;35
Hovedstaden;2020-09-04;114
Midtjylland;2020-09-04;21
Nordjylland;2020-09-04;15
Sjælland;2020-09-04;23
Syddanmark;2020-09-04;26
Hovedstaden;2020-09-05;103
Midtjylland;2020-09-05;14
Nordjylland;2020-09-05;12
Sjælland;2020-09-05;17
Syddanmark;2020-09-05;51
Hovedstaden;2020-09-06;151
Midtjylland;2020-09-06;18
Nordjylland;2020-09-06;16
Sjælland;2020-09-06;18
Syddanmark;2020-09-06;19
Hovedstaden;2020-09-07;158
Midtjylland;2020-09-07;20
Nordjylland;2020-09-07;27
Sjælland;2020-09-07;66
Syddanmark;2020-09-07;24
Hovedstaden;2020-09-08;157
Midtjylland;2020-09-08;41
Nordjylland;2020-09-08;24
Sjælland;2020-09-08;50
Syddanmark;2020-09-08;55
Hovedstaden;2020-09-09;157
Midtjylland;2020-09-09;28
Nordjylland;2020-09-09;29
Sjælland;2020-09-09;24
Syddanmark;2020-09-09;55
Hovedstaden;2020-09-10;197
Midtjylland;2020-09-10;28
Nordjylland;2020-09-10;37
Sjælland;2020-09-10;50
Syddanmark;2020-09-10;55
Hovedstaden;2020-09-11;169
Midtjylland;2020-09-11;71
Nordjylland;2020-09-11;43
Sjælland;2020-09-11;21
Syddanmark;2020-09-11;42
Hovedstaden;2020-09-12;174
Midtjylland;2020-09-12;29
Nordjylland;2020-09-12;31
Sjælland;2020-09-12;23
Syddanmark;2020-09-12;44
Hovedstaden;2020-09-13;169
Midtjylland;2020-09-13;16
Nordjylland;2020-09-13;42
Sjælland;2020-09-13;17
Syddanmark;2020-09-13;52
Hovedstaden;2020-09-14;222
Midtjylland;2020-09-14;36
Nordjylland;2020-09-14;48
Sjælland;2020-09-14;31
Syddanmark;2020-09-14;43
Hovedstaden;2020-09-15;240
Midtjylland;2020-09-15;47
Nordjylland;2020-09-15;61
Sjælland;2020-09-15;37
Syddanmark;2020-09-15;50
Hovedstaden;2020-09-16;306
Midtjylland;2020-09-16;63
Nordjylland;2020-09-16;66
Sjælland;2020-09-16;46
Syddanmark;2020-09-16;68
Hovedstaden;2020-09-17;312
Midtjylland;2020-09-17;61
Nordjylland;2020-09-17;37
Sjælland;2020-09-17;44
Syddanmark;2020-09-17;62
Hovedstaden;2020-09-18;260
Midtjylland;2020-09-18;69
Nordjylland;2020-09-18;46
Sjælland;2020-09-18;48
Syddanmark;2020-09-18;52
Hovedstaden;2020-09-19;228
Midtjylland;2020-09-19;49
Nordjylland;2020-09-19;31
Sjælland;2020-09-19;48
Syddanmark;2020-09-19;60
Hovedstaden;2020-09-20;227
Midtjylland;2020-09-20;51
Nordjylland;2020-09-20;42
Sjælland;2020-09-20;46
Syddanmark;2020-09-20;42
Hovedstaden;2020-09-21;298
Midtjylland;2020-09-21;65
Nordjylland;2020-09-21;58
Sjælland;2020-09-21;56
Syddanmark;2020-09-21;58
Hovedstaden;2020-09-22;301
Midtjylland;2020-09-22;93
Nordjylland;2020-09-22;53
Sjælland;2020-09-22;68
Syddanmark;2020-09-22;72
Hovedstaden;2020-09-23;299
Midtjylland;2020-09-23;124
Nordjylland;2020-09-23;49
Sjælland;2020-09-23;95
Syddanmark;2020-09-23;84
Hovedstaden;2020-09-24;286
Midtjylland;2020-09-24;113
Nordjylland;2020-09-24;38
Sjælland;2020-09-24;81
Syddanmark;2020-09-24;80
Hovedstaden;2020-09-25;207
Midtjylland;2020-09-25;104
Nordjylland;2020-09-25;40
Sjælland;2020-09-25;65
Syddanmark;2020-09-25;72
Hovedstaden;2020-09-26;178
Midtjylland;2020-09-26;92
Nordjylland;2020-09-26;32
Sjælland;2020-09-26;53
Syddanmark;2020-09-26;38
Hovedstaden;2020-09-27;182
Midtjylland;2020-09-27;79
Nordjylland;2020-09-27;22
Sjælland;2020-09-27;39
Syddanmark;2020-09-27;35
Hovedstaden;2020-09-28;212
Midtjylland;2020-09-28;109
Nordjylland;2020-09-28;39
Sjælland;2020-09-28;62
Syddanmark;2020-09-28;59
Hovedstaden;2020-09-29;190
Midtjylland;2020-09-29;107
Nordjylland;2020-09-29;44
Sjælland;2020-09-29;52
Syddanmark;2020-09-29;56
Hovedstaden;2020-09-30;175
Midtjylland;2020-09-30;95
Nordjylland;2020-09-30;39
Sjælland;2020-09-30;59
Syddanmark;2020-09-30;66
Hovedstaden;2020-10-01;164
Midtjylland;2020-10-01;108
Nordjylland;2020-10-01;41
Sjælland;2020-10-01;56
Syddanmark;2020-10-01;58
Hovedstaden;2020-10-02;141
Midtjylland;2020-10-02;101
Nordjylland;2020-10-02;36
Sjælland;2020-10-02;41
Syddanmark;2020-10-02;47
Hovedstaden;2020-10-03;146
Midtjylland;2020-10-03;70
Nordjylland;2020-10-03;31
Sjælland;2020-10-03;32
Syddanmark;2020-10-03;59
Hovedstaden;2020-10-04;146
Midtjylland;2020-10-04;58
Nordjylland;2020-10-04;30
Sjælland;2020-10-04;30
Syddanmark;2020-10-04;42
Hovedstaden;2020-10-05;161
Midtjylland;2020-10-05;105
Nordjylland;2020-10-05;60
Sjælland;2020-10-05;40
Syddanmark;2020-10-05;61
Hovedstaden;2020-10-06;194
Midtjylland;2020-10-06;108
Nordjylland;2020-10-06;31
Sjælland;2020-10-06;40
Syddanmark;2020-10-06;53
Hovedstaden;2020-10-07;158
Midtjylland;2020-10-07;152
Nordjylland;2020-10-07;49
Sjælland;2020-10-07;37
Syddanmark;2020-10-07;56
Hovedstaden;2020-10-08;153
Midtjylland;2020-10-08;136
Nordjylland;2020-10-08;50
Sjælland;2020-10-08;28
Syddanmark;2020-10-08;55
Hovedstaden;2020-10-09;151
Midtjylland;2020-10-09;116
Nordjylland;2020-10-09;43
Sjælland;2020-10-09;30
Syddanmark;2020-10-09;71
Hovedstaden;2020-10-10;108
Midtjylland;2020-10-10;87
Nordjylland;2020-10-10;32
Sjælland;2020-10-10;25
Syddanmark;2020-10-10;29
Hovedstaden;2020-10-11;98
Midtjylland;2020-10-11;66
Nordjylland;2020-10-11;30
Sjælland;2020-10-11;29
Syddanmark;2020-10-11;33
Hovedstaden;2020-10-12;142
Midtjylland;2020-10-12;128
Nordjylland;2020-10-12;45
Sjælland;2020-10-12;69
Syddanmark;2020-10-12;73
Hovedstaden;2020-10-13;157
Midtjylland;2020-10-13;95
Nordjylland;2020-10-13;55
Sjælland;2020-10-13;24
Syddanmark;2020-10-13;94
Hovedstaden;2020-10-14;201
Midtjylland;2020-10-14;96
Nordjylland;2020-10-14;62
Sjælland;2020-10-14;36
Syddanmark;2020-10-14;74
Hovedstaden;2020-10-15;181
Midtjylland;2020-10-15;111
Nordjylland;2020-10-15;33
Sjælland;2020-10-15;39
Syddanmark;2020-10-15;85
Hovedstaden;2020-10-16;187
Midtjylland;2020-10-16;105
Nordjylland;2020-10-16;49
Sjælland;2020-10-16;47
Syddanmark;2020-10-16;77
Hovedstaden;2020-10-17;217
Midtjylland;2020-10-17;75
Nordjylland;2020-10-17;42
Sjælland;2020-10-17;28
Syddanmark;2020-10-17;69
Hovedstaden;2020-10-18;226
Midtjylland;2020-10-18;71
Nordjylland;2020-10-18;42
Sjælland;2020-10-18;35
Syddanmark;2020-10-18;77
Hovedstaden;2020-10-19;293
Midtjylland;2020-10-19;139
Nordjylland;2020-10-19;72
Sjælland;2020-10-19;68
Syddanmark;2020-10-19;115
Hovedstaden;2020-10-20;318
Midtjylland;2020-10-20;191
Nordjylland;2020-10-20;84
Sjælland;2020-10-20;70
Syddanmark;2020-10-20;117
Hovedstaden;2020-10-21;330
Midtjylland;2020-10-21;233
Nordjylland;2020-10-21;92
Sjælland;2020-10-21;76
Syddanmark;2020-10-21;116
Hovedstaden;2020-10-22;407
Midtjylland;2020-10-22;151
Nordjylland;2020-10-22;102
Sjælland;2020-10-22;75
Syddanmark;2020-10-22;131
Hovedstaden;2020-10-23;370
Midtjylland;2020-10-23;174
Nordjylland;2020-10-23;117
Sjælland;2020-10-23;79
Syddanmark;2020-10-23;120
Hovedstaden;2020-10-24;385
Midtjylland;2020-10-24;144
Nordjylland;2020-10-24;104
Sjælland;2020-10-24;89
Syddanmark;2020-10-24;97
Hovedstaden;2020-10-25;439
Midtjylland;2020-10-25;156
Nordjylland;2020-10-25;108
Sjælland;2020-10-25;79
Syddanmark;2020-10-25;134
Hovedstaden;2020-10-26;446
Midtjylland;2020-10-26;162
Nordjylland;2020-10-26;132
Sjælland;2020-10-26;99
Syddanmark;2020-10-26;166
Hovedstaden;2020-10-27;573
Midtjylland;2020-10-27;240
Nordjylland;2020-10-27;148
Sjælland;2020-10-27;135
Syddanmark;2020-10-27;145
Hovedstaden;2020-10-28;529
Midtjylland;2020-10-28;230
Nordjylland;2020-10-28;116
Sjælland;2020-10-28;141
Syddanmark;2020-10-28;187
Hovedstaden;2020-10-29;459
Midtjylland;2020-10-29;141
Nordjylland;2020-10-29;120
Sjælland;2020-10-29;120
Syddanmark;2020-10-29;172
Hovedstaden;2020-10-30;494
Midtjylland;2020-10-30;195
Nordjylland;2020-10-30;113
Sjælland;2020-10-30;152
Syddanmark;2020-10-30;127
Hovedstaden;2020-10-31;504
Midtjylland;2020-10-31;169
Nordjylland;2020-10-31;96
Sjælland;2020-10-31;108
Syddanmark;2020-10-31;99
Hovedstaden;2020-11-01;464
Midtjylland;2020-11-01;172
Nordjylland;2020-11-01;95
Sjælland;2020-11-01;84
Syddanmark;2020-11-01;139
Hovedstaden;2020-11-02;604
Midtjylland;2020-11-02;206
Nordjylland;2020-11-02;116
Sjælland;2020-11-02;183
Syddanmark;2020-11-02;162
Hovedstaden;2020-11-03;579
Midtjylland;2020-11-03;213
Nordjylland;2020-11-03;137
Sjælland;2020-11-03;146
Syddanmark;2020-11-03;181
Hovedstaden;2020-11-04;580
Midtjylland;2020-11-04;234
Nordjylland;2020-11-04;83
Sjælland;2020-11-04;172
Syddanmark;2020-11-04;172
Hovedstaden;2020-11-05;472
Midtjylland;2020-11-05;183
Nordjylland;2020-11-05;83
Sjælland;2020-11-05;140
Syddanmark;2020-11-05;150
Hovedstaden;2020-11-06;463
Midtjylland;2020-11-06;162
Nordjylland;2020-11-06;60
Sjælland;2020-11-06;144
Syddanmark;2020-11-06;130
Hovedstaden;2020-11-07;385
Midtjylland;2020-11-07;174
Nordjylland;2020-11-07;68
Sjælland;2020-11-07;115
Syddanmark;2020-11-07;102
Hovedstaden;2020-11-08;352
Midtjylland;2020-11-08;154
Nordjylland;2020-11-08;41
Sjælland;2020-11-08;90
Syddanmark;2020-11-08;100
Hovedstaden;2020-11-09;484
Midtjylland;2020-11-09;204
Nordjylland;2020-11-09;72
Sjælland;2020-11-09;118
Syddanmark;2020-11-09;165
Hovedstaden;2020-11-10;494
Midtjylland;2020-11-10;225
Nordjylland;2020-11-10;61
Sjælland;2020-11-10;147
Syddanmark;2020-11-10;126
Hovedstaden;2020-11-11;441
Midtjylland;2020-11-11;263
Nordjylland;2020-11-11;70
Sjælland;2020-11-11;152
Syddanmark;2020-11-11;162
Hovedstaden;2020-11-12;475
Midtjylland;2020-11-12;248
Nordjylland;2020-11-12;67
Sjælland;2020-11-12;118
Syddanmark;2020-11-12;144
Hovedstaden;2020-11-13;519
Midtjylland;2020-11-13;233
Nordjylland;2020-11-13;77
Sjælland;2020-11-13;151
Syddanmark;2020-11-13;168
Hovedstaden;2020-11-14;469
Midtjylland;2020-11-14;224
Nordjylland;2020-11-14;65
Sjælland;2020-11-14;103
Syddanmark;2020-11-14;182
Hovedstaden;2020-11-15;452
Midtjylland;2020-11-15;204
Nordjylland;2020-11-15;73
Sjælland;2020-11-15;110
Syddanmark;2020-11-15;150
Hovedstaden;2020-11-16;550
Midtjylland;2020-11-16;301
Nordjylland;2020-11-16;58
Sjælland;2020-11-16;143
Syddanmark;2020-11-16;199
Hovedstaden;2020-11-17;588
Midtjylland;2020-11-17;300
Nordjylland;2020-11-17;65
Sjælland;2020-11-17;137
Syddanmark;2020-11-17;238
Hovedstaden;2020-11-18;591
Midtjylland;2020-11-18;298
Nordjylland;2020-11-18;53
Sjælland;2020-11-18;147
Syddanmark;2020-11-18;241
Hovedstaden;2020-11-19;573
Midtjylland;2020-11-19;241
Nordjylland;2020-11-19;44
Sjælland;2020-11-19;140
Syddanmark;2020-11-19;223
Hovedstaden;2020-11-20;550
Midtjylland;2020-11-20;217
Nordjylland;2020-11-20;64
Sjælland;2020-11-20;156
Syddanmark;2020-11-20;235
Hovedstaden;2020-11-21;514
Midtjylland;2020-11-21;179
Nordjylland;2020-11-21;36
Sjælland;2020-11-21;111
Syddanmark;2020-11-21;161
Hovedstaden;2020-11-22;515
Midtjylland;2020-11-22;192
Nordjylland;2020-11-22;38
Sjælland;2020-11-22;95
Syddanmark;2020-11-22;169
Hovedstaden;2020-11-23;591
Midtjylland;2020-11-23;191
Nordjylland;2020-11-23;35
Sjælland;2020-11-23;143
Syddanmark;2020-11-23;227
Hovedstaden;2020-11-24;673
Midtjylland;2020-11-24;237
Nordjylland;2020-11-24;42
Sjælland;2020-11-24;150
Syddanmark;2020-11-24;224
Hovedstaden;2020-11-25;668
Midtjylland;2020-11-25;233
Nordjylland;2020-11-25;46
Sjælland;2020-11-25;170
Syddanmark;2020-11-25;196
Hovedstaden;2020-11-26;619
Midtjylland;2020-11-26;246
Nordjylland;2020-11-26;45
Sjælland;2020-11-26;164
Syddanmark;2020-11-26;181
Hovedstaden;2020-11-27;693
Midtjylland;2020-11-27;231
Nordjylland;2020-11-27;38
Sjælland;2020-11-27;133
Syddanmark;2020-11-27;213
Hovedstaden;2020-11-28;628
Midtjylland;2020-11-28;212
Nordjylland;2020-11-28;26
Sjælland;2020-11-28;146
Syddanmark;2020-11-28;139
Hovedstaden;2020-11-29;674
Midtjylland;2020-11-29;185
Nordjylland;2020-11-29;37
Sjælland;2020-11-29;143
Syddanmark;2020-11-29;134
Hovedstaden;2020-11-30;761
Midtjylland;2020-11-30;326
Nordjylland;2020-11-30;39
Sjælland;2020-11-30;206
Syddanmark;2020-11-30;199
Hovedstaden;2020-12-01;958
Midtjylland;2020-12-01;292
Nordjylland;2020-12-01;47
Sjælland;2020-12-01;207
Syddanmark;2020-12-01;208
Hovedstaden;2020-12-02;1026
Midtjylland;2020-12-02;326
Nordjylland;2020-12-02;60
Sjælland;2020-12-02;268
Syddanmark;2020-12-02;196
Hovedstaden;2020-12-03;1024
Midtjylland;2020-12-03;332
Nordjylland;2020-12-03;53
Sjælland;2020-12-03;249
Syddanmark;2020-12-03;248
Hovedstaden;2020-12-04;1058
Midtjylland;2020-12-04;402
Nordjylland;2020-12-04;65
Sjælland;2020-12-04;264
Syddanmark;2020-12-04;228
Hovedstaden;2020-12-05;974
Midtjylland;2020-12-05;266
Nordjylland;2020-12-05;53
Sjælland;2020-12-05;267
Syddanmark;2020-12-05;155
Hovedstaden;2020-12-06;1113
Midtjylland;2020-12-06;305
Nordjylland;2020-12-06;70
Sjælland;2020-12-06;274
Syddanmark;2020-12-06;214
Hovedstaden;2020-12-07;1513
Midtjylland;2020-12-07;441
Nordjylland;2020-12-07;105
Sjælland;2020-12-07;382
Syddanmark;2020-12-07;309
Hovedstaden;2020-12-08;1669
Midtjylland;2020-12-08;519
Nordjylland;2020-12-08;139
Sjælland;2020-12-08;466
Syddanmark;2020-12-08;330
Hovedstaden;2020-12-09;1695
Midtjylland;2020-12-09;578
Nordjylland;2020-12-09;145
Sjælland;2020-12-09;438
Syddanmark;2020-12-09;332
Hovedstaden;2020-12-10;1806
Midtjylland;2020-12-10;600
Nordjylland;2020-12-10;166
Sjælland;2020-12-10;427
Syddanmark;2020-12-10;282
Hovedstaden;2020-12-11;1739
Midtjylland;2020-12-11;583
Nordjylland;2020-12-11;125
Sjælland;2020-12-11;505
Syddanmark;2020-12-11;341
Hovedstaden;2020-12-12;1684
Midtjylland;2020-12-12;544
Nordjylland;2020-12-12;160
Sjælland;2020-12-12;413
Syddanmark;2020-12-12;287
Hovedstaden;2020-12-13;1892
Midtjylland;2020-12-13;476
Nordjylland;2020-12-13;123
Sjælland;2020-12-13;376
Syddanmark;2020-12-13;299
Hovedstaden;2020-12-14;2013
Midtjylland;2020-12-14;765
Nordjylland;2020-12-14;193
Sjælland;2020-12-14;592
Syddanmark;2020-12-14;422
Hovedstaden;2020-12-15;2124
Midtjylland;2020-12-15;804
Nordjylland;2020-12-15;210
Sjælland;2020-12-15;610
Syddanmark;2020-12-15;542
Hovedstaden;2020-12-16;2207
Midtjylland;2020-12-16;747
Nordjylland;2020-12-16;226
Sjælland;2020-12-16;685
Syddanmark;2020-12-16;522
Hovedstaden;2020-12-17;1737
Midtjylland;2020-12-17;608
Nordjylland;2020-12-17;202
Sjælland;2020-12-17;570
Syddanmark;2020-12-17;494
Hovedstaden;2020-12-18;1519
Midtjylland;2020-12-18;548
Nordjylland;2020-12-18;213
Sjælland;2020-12-18;475
Syddanmark;2020-12-18;375
Hovedstaden;2020-12-19;1276
Midtjylland;2020-12-19;514
Nordjylland;2020-12-19;211
Sjælland;2020-12-19;388
Syddanmark;2020-12-19;365
Hovedstaden;2020-12-20;1173
Midtjylland;2020-12-20;390
Nordjylland;2020-12-20;169
Sjælland;2020-12-20;399
Syddanmark;2020-12-20;322
Hovedstaden;2020-12-21;1449
Midtjylland;2020-12-21;513
Nordjylland;2020-12-21;197
Sjælland;2020-12-21;489
Syddanmark;2020-12-21;451
Hovedstaden;2020-12-22;1342
Midtjylland;2020-12-22;470
Nordjylland;2020-12-22;241
Sjælland;2020-12-22;459
Syddanmark;2020-12-22;355
Hovedstaden;2020-12-23;1426
Midtjylland;2020-12-23;515
Nordjylland;2020-12-23;255
Sjælland;2020-12-23;442
Syddanmark;2020-12-23;437
Hovedstaden;2020-12-24;728
Midtjylland;2020-12-24;246
Nordjylland;2020-12-24;134
Sjælland;2020-12-24;156
Syddanmark;2020-12-24;208
Hovedstaden;2020-12-25;805
Midtjylland;2020-12-25;214
Nordjylland;2020-12-25;130
Sjælland;2020-12-25;205
Syddanmark;2020-12-25;232
Hovedstaden;2020-12-26;1278
Midtjylland;2020-12-26;460
Nordjylland;2020-12-26;178
Sjælland;2020-12-26;445
Syddanmark;2020-12-26;323
Hovedstaden;2020-12-27;1012
Midtjylland;2020-12-27;416
Nordjylland;2020-12-27;171
Sjælland;2020-12-27;326
Syddanmark;2020-12-27;259
Hovedstaden;2020-12-28;1289
Midtjylland;2020-12-28;568
Nordjylland;2020-12-28;261
Sjælland;2020-12-28;544
Syddanmark;2020-12-28;400
Hovedstaden;2020-12-29;985
Midtjylland;2020-12-29;520
Nordjylland;2020-12-29;187
Sjælland;2020-12-29;442
Syddanmark;2020-12-29;341
Hovedstaden;2020-12-30;1181
Midtjylland;2020-12-30;480
Nordjylland;2020-12-30;213
Sjælland;2020-12-30;519
Syddanmark;2020-12-30;375
Hovedstaden;2020-12-31;562
Midtjylland;2020-12-31;241
Nordjylland;2020-12-31;105
Sjælland;2020-12-31;153
Syddanmark;2020-12-31;166
Hovedstaden;2021-01-01;572
Midtjylland;2021-01-01;231
Nordjylland;2021-01-01;93
Sjælland;2021-01-01;139
Syddanmark;2021-01-01;167
Hovedstaden;2021-01-02;837
Midtjylland;2021-01-02;436
Nordjylland;2021-01-02;185
Sjælland;2021-01-02;322
Syddanmark;2021-01-02;260
Hovedstaden;2021-01-03;714
Midtjylland;2021-01-03;330
Nordjylland;2021-01-03;178
Sjælland;2021-01-03;221
Syddanmark;2021-01-03;226
Hovedstaden;2021-01-04;1060
Midtjylland;2021-01-04;458
Nordjylland;2021-01-04;210
Sjælland;2021-01-04;399
Syddanmark;2021-01-04;349
Hovedstaden;2021-01-05;825
Midtjylland;2021-01-05;315
Nordjylland;2021-01-05;154
Sjælland;2021-01-05;350
Syddanmark;2021-01-05;279
Hovedstaden;2021-01-06;714
Midtjylland;2021-01-06;279
Nordjylland;2021-01-06;176
Sjælland;2021-01-06;272
Syddanmark;2021-01-06;213
Hovedstaden;2021-01-07;584
Midtjylland;2021-01-07;336
Nordjylland;2021-01-07;144
Sjælland;2021-01-07;248
Syddanmark;2021-01-07;272
Hovedstaden;2021-01-08;607
Midtjylland;2021-01-08;253
Nordjylland;2021-01-08;116
Sjælland;2021-01-08;222
Syddanmark;2021-01-08;228
Hovedstaden;2021-01-09;482
Midtjylland;2021-01-09;222
Nordjylland;2021-01-09;101
Sjælland;2021-01-09;212
Syddanmark;2021-01-09;174
Hovedstaden;2021-01-10;408
Midtjylland;2021-01-10;185
Nordjylland;2021-01-10;81
Sjælland;2021-01-10;167
Syddanmark;2021-01-10;149
Hovedstaden;2021-01-11;614
Midtjylland;2021-01-11;196
Nordjylland;2021-01-11;107
Sjælland;2021-01-11;224
Syddanmark;2021-01-11;206
Hovedstaden;2021-01-12;586
Midtjylland;2021-01-12;178
Nordjylland;2021-01-12;104
Sjælland;2021-01-12;234
Syddanmark;2021-01-12;152
Hovedstaden;2021-01-13;513
Midtjylland;2021-01-13;171
Nordjylland;2021-01-13;119
Sjælland;2021-01-13;157
Syddanmark;2021-01-13;151
Hovedstaden;2021-01-14;422
Midtjylland;2021-01-14;187
Nordjylland;2021-01-14;96
Sjælland;2021-01-14;146
Syddanmark;2021-01-14;150
Hovedstaden;2021-01-15;390
Midtjylland;2021-01-15;117
Nordjylland;2021-01-15;83
Sjælland;2021-01-15;132
Syddanmark;2021-01-15;128
Hovedstaden;2021-01-16;339
Midtjylland;2021-01-16;72
Nordjylland;2021-01-16;74
Sjælland;2021-01-16;105
Syddanmark;2021-01-16;127
Hovedstaden;2021-01-17;319
Midtjylland;2021-01-17;78
Nordjylland;2021-01-17;65
Sjælland;2021-01-17;115
Syddanmark;2021-01-17;97
Hovedstaden;2021-01-18;439
Midtjylland;2021-01-18;119
Nordjylland;2021-01-18;73
Sjælland;2021-01-18;140
Syddanmark;2021-01-18;152
Hovedstaden;2021-01-19;362
Midtjylland;2021-01-19;112
Nordjylland;2021-01-19;93
Sjælland;2021-01-19;164
Syddanmark;2021-01-19;181
Hovedstaden;2021-01-20;316
Midtjylland;2021-01-20;110
Nordjylland;2021-01-20;80
Sjælland;2021-01-20;149
Syddanmark;2021-01-20;118
Hovedstaden;2021-01-21;376
Midtjylland;2021-01-21;120
Nordjylland;2021-01-21;75
Sjælland;2021-01-21;146
Syddanmark;2021-01-21;135
Hovedstaden;2021-01-22;286
Midtjylland;2021-01-22;95
Nordjylland;2021-01-22;83
Sjælland;2021-01-22;130
Syddanmark;2021-01-22;116
Hovedstaden;2021-01-23;256
Midtjylland;2021-01-23;84
Nordjylland;2021-01-23;44
Sjælland;2021-01-23;100
Syddanmark;2021-01-23;103
Hovedstaden;2021-01-24;245
Midtjylland;2021-01-24;55
Nordjylland;2021-01-24;57
Sjælland;2021-01-24;84
Syddanmark;2021-01-24;71
Hovedstaden;2021-01-25;331
Midtjylland;2021-01-25;83
Nordjylland;2021-01-25;51
Sjælland;2021-01-25;131
Syddanmark;2021-01-25;123
Hovedstaden;2021-01-26;276
Midtjylland;2021-01-26;94
Nordjylland;2021-01-26;67
Sjælland;2021-01-26;135
Syddanmark;2021-01-26;106
Hovedstaden;2021-01-27;250
Midtjylland;2021-01-27;63
Nordjylland;2021-01-27;36
Sjælland;2021-01-27;102
Syddanmark;2021-01-27;79
Hovedstaden;2021-01-28;236
Midtjylland;2021-01-28;71
Nordjylland;2021-01-28;39
Sjælland;2021-01-28;83
Syddanmark;2021-01-28;69
Hovedstaden;2021-01-29;183
Midtjylland;2021-01-29;45
Nordjylland;2021-01-29;31
Sjælland;2021-01-29;62
Syddanmark;2021-01-29;81
Hovedstaden;2021-01-30;165
Midtjylland;2021-01-30;38
Nordjylland;2021-01-30;28
Sjælland;2021-01-30;56
Syddanmark;2021-01-30;70
Hovedstaden;2021-01-31;176
Midtjylland;2021-01-31;45
Nordjylland;2021-01-31;32
Sjælland;2021-01-31;61
Syddanmark;2021-01-31;66
